id,date,year,source_database,origin,attack_vector,attack_description,country,industry_type,subcategory,attack_details,ti_safe_score,impact,link_at_the_internet
1338,15/08/2025,2024,TI Safe,External,Ransomware attack ,"A massive cyberattack disrupted Iran's Central Bank, causing widespread banking system failures during a tense geopolitical climate.",Iran,Financial,Banking and Finance,"The Central Bank of Iran suffered a major cyberattack, leading to widespread disruptions in the country's banking system. The attack occurred during heightened tensions in the Middle East, with potential ramifications for international relations and econo",4,"Severe disruptions in Iran's banking system, with potential geopolitical consequences amid regional tensions.",<a href='https://www.israelhayom.com/2024/08/14/report-irans-central-bank-crippled-in-massive-cyber-attack/' rel='' target='_self'>https://www.israelhayom.com/2024/08/14/report-irans-central-bank-crippled-in-massive-cyber-attack/</a>
1337,15/08/2024,2024,TI Safe,External,Phishing attack,"A previously unknown threat actor, dubbed Actor240524, targeted Azerbaijani and Israeli diplomats using spear-phishing to steal sensitive data.",Azerbaijan and Israel,Public Services ,"Gpver,emt","In July 2024, a newly identified threat actor, Actor240524, launched a series of spear-phishing attacks targeting diplomats in Azerbaijan and Israel. The campaign aimed to steal sensitive data using a complex chain of attacks, beginning with phishing emai",4,Compromise of sensitive diplomatic data through sophisticated spear-phishing techniques and advanced malware.,<a href='https://thehackernews.com/2024/08/new-cyber-threat-targets-azerbaijan-and.html' rel='' target='_self'>https://thehackernews.com/2024/08/new-cyber-threat-targets-azerbaijan-and.html</a>
1336,15/08/2024,2024,TI Safe,External,Cyberattack,The Iranian state-backed group APT42 launched a massive phishing campaign targeting high-profile individuals linked to the U.S. presidential election,United States (and Israel),Public Services ,Government and Elections,"Between February and late July 2024, APT42, a sophisticated Iranian state-sponsored cyber group associated with the Islamic Revolutionary Guard Corps (IRGC), carried out a massive phishing campaign aimed at disrupting the U.S. presidential election. The g",4,"Successful breaches of accounts across multiple email providers, with a significant threat to the integrity of the U.S. presidential election. High-profile individuals, including government officials and campaign workers, were targeted.",<a href='https://cybersecuritynews.com/iranian-apt42-phishing-campaign/#google_vignette' rel='' target='_self'>https://cybersecuritynews.com/iranian-apt42-phishing-campaign/#google_vignette</a>
1335,14/08/2024,2024,TI Safe,External,Ransomware attack ,"The ThreeAM ransomware targeted Kootenai Health, compromising sensitive data of 464,000 patients, including personal and medical information.",United States,Health and Homecare services,Healthcare,"The ThreeAM ransomware attack, which began on February 22, 2024, resulted in the exposure of sensitive data of more than 464,000 patients of Kootenai Health. The attack compromised names, dates of birth, Social Security numbers, driver's licenses, medical",4,"Personal and medical data of 464,000 patients exposed after a ransomware attack; involved critical information such as Social Security numbers and medical histories.",<a href='https://securityaffairs.com/167020/data-breach/kootenai-health-data-breach.html' rel='' target='_self'>https://securityaffairs.com/167020/data-breach/kootenai-health-data-breach.html</a>
1334,14/08/2024,2024,TI Safe,External,Phishing attack,"The Brain Cipher ransomware group crippled Indonesia's national data center, causing widespread service disruptions.",Indonesia,Government,Public Administration,"Brain Cipher ransomware group targeted Indonesia's national data center, leading to widespread service disruptions in over 200 government agencies. The group, also linked to other ransomware identities, abandoned its $8 million ransom demand under pressur",4,Severe disruptions to government services and public infrastructure across Indonesia; attackers abandoned ransom demands.,<a href='https://www.darkreading.com/threat-intelligence/ransomware-group-behind-major-indonesian-attack-wears-many-masks' rel='' target='_self'>https://www.darkreading.com/threat-intelligence/ransomware-group-behind-major-indonesian-attack-wears-many-masks</a>
1333,12/08/2024,2024,TI Safe,External,Cyberattack,OpenVPN vulnerabilities on Windows platforms could lead to remote code execution and full control over endpoints.,Global,Tecnology services ,Software,"Microsoft's discovery of multiple vulnerabilities in OpenVPN, which could be exploited for remote code execution on Windows platforms, underscores the potential risks to global technology infrastructure. These flaws, if chained together, could allow attac",2,"Potential for widespread exploitation if vulnerabilities are chained together, risking significant security breaches.",<a href='https://www.securityweek.com/microsoft-warns-of-openvpn-vulnerabilities-potential-for-exploit-chains/' rel='' target='_self'>https://www.securityweek.com/microsoft-warns-of-openvpn-vulnerabilities-potential-for-exploit-chains/</a>
1332,12/08/2024,2024,TI Safe,External,Ransomware,"Iranian actors allegedly hacked Trump's campaign, stealing and compromising sensitive election data.",United States,Public Services ,Policy,"Iranian hackers allegedly targeted the Trump re-election campaign, stealing sensitive election data through a phishing attack. This breach, part of broader foreign interference efforts, raises concerns over the integrity of the 2024 US elections. The atta",3,Significant political implications with potential to influence the 2024 US elections.,<a href='Campanha de Trump sofre violação de dados confidenciais em suposto hack iraniano | CSO Online' rel='' target='_self'>Campanha de Trump sofre violação de dados confidenciais em suposto hack iraniano | CSO Online</a>
1331,12/08/2024,2024,TI Safe,External,Malware attack ,"Hackers impersonated Ukraine’s Security Service, using phishing emails to infect over 100 government computers with malware.",Ukraine,Government,Public Administration,"Starting in July 2024, attackers impersonated the Security Service of Ukraine to send phishing emails that infected over 100 government computers with AnonVNC malware. The malware allowed covert access to these systems, compromising sensitive government o",3,"Significant compromise of government systems, affecting central and local government bodies.",<a href='https://www.bleepingcomputer.com/news/security/hackers-posing-as-ukraines-security-service-infect-100-govt-pcs/' rel='' target='_self'>https://www.bleepingcomputer.com/news/security/hackers-posing-as-ukraines-security-service-infect-100-govt-pcs/</a>
1330,08/08/2024,2024,TI Safe,External,Ransomware attack ,"McLaren Health Care faced a second ransomware attack within a year, disrupting IT and phone systems.",United States,Healthcare,Health and Social Care,null,2,"Disruption of IT and phone systems, with possible compromise of patient and employee data.",<a href='https://www.wilx.com/2024/08/08/mclaren-health-care-deals-with-another-cyberattack-nearly-one-year-later/' rel='' target='_self'>https://www.wilx.com/2024/08/08/mclaren-health-care-deals-with-another-cyberattack-nearly-one-year-later/</a>
1329,06/08/2024,2024,TI Safe,External,"Phishing, Malware","BlackSuit ransomware is spreading across critical infrastructure sectors, demanding ransoms up to $60 million.",United Stats,Critical Infrastructure,Multiple Sectors,"The BlackSuit ransomware, a rebranded version of Royal ransomware, has been targeting various critical infrastructure sectors in the US, with ransom demands reaching up to $60 million. The attackers use phishing emails to gain access, disable security sys",4,"Widespread impact on multiple critical sectors, with substantial financial demands and potential data exposure.",<a href='https://cybernews.com/news/blacksuit-ransomware-attack/' rel='' target='_self'>https://cybernews.com/news/blacksuit-ransomware-attack/</a>
1328,05/08/2024,2024,TI Safe,External,Ransomware,Exploitable design flaws in Windows Smart App Control and SmartScreen allow bypassing security features.,Global,Technology,Global,"Researchers found design flaws in Windows Smart App Control and SmartScreen that could be exploited to bypass security warnings. This vulnerability enables attackers to gain initial access to systems without triggering alerts, posing significant risks.",3,"Design flaws allow threat actors to bypass security features, enabling potential unauthorized access.",<a href='https://thehackernews.com/2024/08/researchers-uncover-flaws-in-windows.html' rel='' target='_self'>https://thehackernews.com/2024/08/researchers-uncover-flaws-in-windows.html</a>
1327,06/08/2024,2024,TI Safe,External,Ransomware attack ,"Ransomware attack on OneBlood disrupted operations, forcing manual processes for blood collection and distribution.",United States,Healthcare,Health and Social Care,"The ransomware attack on OneBlood on July 29th, 2024, severely disrupted the organization's IT systems, forcing a shift to manual processes for blood collection and distribution. The attack threatened the blood supply to over 250 hospitals in the southeas",3,"Severe operational disruptions at a critical blood donation center, impacting patient care.",<a href='https://hackread.com/oneblood-ransomware-attack-blood-center-recovering/' rel='' target='_self'>https://hackread.com/oneblood-ransomware-attack-blood-center-recovering/</a>
1326,06/08/2024,2024,TI Safe,External,Zero-day vulnerability,CVE-2024-38856 in Apache OFBiz ERP allows unauthenticated remote code execution via a pre-authentication flaw.,Global,Technology,Global,A critical zero-day vulnerability (CVE-2024-38856) in Apache OFBiz ERP system allows unauthenticated users to execute code remotely. This high-severity flaw can lead to full system compromise and has been actively exploited in the wild.,4,"Critical vulnerability enabling remote code execution, leading to potential system compromise.",<a href='https://thehackernews.com/2024/08/new-zero-day-flaw-in-apache-ofbiz-erp.html' rel='' target='_self'>https://thehackernews.com/2024/08/new-zero-day-flaw-in-apache-ofbiz-erp.html</a>
1325,06/08/2024,2024,TI Safe,External,Remote code execution,"CVE-2024-36971 in Android kernel exploited for remote code execution, targeting specific devices.",Global,Technology,Global,"The CVE-2024-36971 vulnerability in the Android kernel has been actively exploited in targeted attacks. The flaw allows for remote code execution, potentially by commercial spyware vendors, impacting a broad range of devices.",3,"Exploitation of a kernel vulnerability allowing remote code execution, potentially used by spyware vendors.",<a href='https://thehackernews.com/2024/08/google-patches-new-android-kernel.html' rel='' target='_self'>https://thehackernews.com/2024/08/google-patches-new-android-kernel.html</a>
1324,06/08/2024,2024,TI Safe,External,Spyware,"LianSpy uses Yandex Cloud for C2, capturing user data including screencasts, files, call logs, and more.",Russia,Technology,Russia,"LianSpy, a sophisticated Android spyware, utilizes Yandex Cloud for command and control. It collects screencasts, user files, call logs, and app lists while avoiding detection through legitimate cloud infrastructure.",3,Spyware exfiltrates personal data and evades detection using legitimate cloud services.,<a href='https://thehackernews.com/2024/08/new-android-spyware-lianspy-evades.html' rel='' target='_self'>https://thehackernews.com/2024/08/new-android-spyware-lianspy-evades.html</a>
1323,06/08/2024,2024,TI Safe,External,Malicious npm packages,"North Korean group pushed malicious npm packages targeting Windows systems, involving data exfiltration and malware deployment.",Global,Technology,Global,"The North Korean group Moonstone Sleet pushed malicious npm packages to infect systems. The packages were designed to exfiltrate data and deploy additional malware, targeting users globally.",3,Deployment of malicious npm packages aiming at infecting systems with malware.,<a href='https://thehackernews.com/2024/08/north-korean-hackers-moonstone-sleet.html' rel='' target='_self'>https://thehackernews.com/2024/08/north-korean-hackers-moonstone-sleet.html</a>
1322,06/08/2024,2024,TI Safe,External,Insider misuse of valid credentials,"Insider threats in SaaS involve misuse of valid credentials, potentially causing data theft, manipulation, or misuse.",Not specified,Technology,Not specified,"Insiders can misuse valid credentials, leading to data theft, manipulation, or misuse in SaaS environments. ITDR tools help detect such threats by monitoring behavioral anomalies.",3,"Potential data theft, manipulation, or misuse.",<a href='https://thehackernews.com/2024/08/suspicious-minds-insider-threats-in.html' rel='' target='_self'>https://thehackernews.com/2024/08/suspicious-minds-insider-threats-in.html</a>
1321,29/07/2024,2024,TI Safe,External,Fraud or sabotage,Coordinated sabotage of fiber optic networks in France disrupted telecom services during the Olympic Games.,France,Communication and telecommunications sector,Telecommunications,"A coordinated sabotage of fiber optic networks across six regions in France, including areas hosting Olympic events, led to major disruptions in telecommunications. This incident, occurring during the 2024 Olympics, resulted in widespread internet and pho",3,"Significant disruptions in internet, phone services, and TGV train operations, affecting public services and Olympic events.",<a href='https://g1.globo.com/mundo/olimpiadas/paris-2024/noticia/2024/07/29/ataques-redes-fibra-otica-operadoras-franca-sabotagem.ghtml' rel='' target='_self'>https://g1.globo.com/mundo/olimpiadas/paris-2024/noticia/2024/07/29/ataques-redes-fibra-otica-operadoras-franca-sabotagem.ghtml</a>
1320,25/07/2024,2024,TI Safe,External,Ransomware attack ,"North Korean hacker indicted for targeting US hospitals with ransomware, disrupting patient care and extorting money.",United States,Healthcare,Health and Social Care,"Rim Jong Hyok, a North Korean hacker associated with the cyberespionage group Andariel, was indicted for hacking US hospitals. The group's ransomware attacks disrupted patient care and extorted ransom payments, with the proceeds funding further cyber intr",4,"Compromised patient care, extorted ransom, and international security concerns.",<a href='https://hackread.com/us-charges-north-korean-hacker-ransomware-attacks-hospitals/' rel='' target='_self'>https://hackread.com/us-charges-north-korean-hacker-ransomware-attacks-hospitals/</a>
1319,24/07/2024,2024,TI Safe,External,Unauthorized access,"North Korean hackers attempting to steal nuclear and military secrets from governments and private companies worldwide, according to the US and UK.",Multiple countries (global impact),Nuclear ,Defense/National,"North Korean hackers, known as Andariel and Onyx Sleet, are attempting to steal nuclear and military secrets from governments and private companies worldwide. The group targets defense, aerospace, nuclear, and engineering entities to obtain classified inf",4,null,"<a href='North Korea hackers trying to steal nuclear secrets- US, UK warn (bbc.com)' rel='' target='_self'>North Korea hackers trying to steal nuclear secrets- US, UK warn (bbc.com)</a>"
1318,24/07/2024,2024,TI Safe,External,Unauthorized access,"Government's accounting system suffered a cyber incident, affecting administrative processes in nine ministries and two agencies.",Brazil,Governemnt ,Public Administration,"On July 22, 2024, the Electronic Information System (SEI) and some functionalities of the National Electronic Process (PEN) experienced a cyber security incident. The SEI, crucial for the electronic handling of administrative processes in nine ministries ",4,"The Electronic Information System (SEI) was taken offline, impacting administrative processes of nine ministries and two federal agencies.",<a href='Ministério da Gestão informa que sistema de prestação de contas do governo sofreu 'incidente de segurança cibernética'; PF é acionada | Política | G1 (globo.com)' rel='' target='_self'>Ministério da Gestão informa que sistema de prestação de contas do governo sofreu 'incidente de segurança cibernética'; PF é acionada | Política | G1 (globo.com)</a>
1317,23/07/2024,2024,TI Safe,External,Malware attack ,Russian-linked malware disabled heating in 600 buildings in Lviv during freezing temperatures for two days in January.,Ukraine,Energy,Critical Infrastructure,"The FrostyGoop malware attack on Lviv's energy company in January 2024 disrupted heating for over 600 buildings, leaving residents in freezing conditions. The attackers, linked to Russian sources, gained access to the network nearly a year before the atta",3,"Significant impact on civilian life, with potential life-threatening consequences due to extreme cold exposure.",<a href='https://cybernews.com/cyber-war/hackers-disable-lviv-heating-frostygoop/' rel='' target='_self'>https://cybernews.com/cyber-war/hackers-disable-lviv-heating-frostygoop/</a>
