id,victim,published_date,region,industry,threat_actor,sites,cost,ot_or_physical_consecuences,incident_summary,references,published_year,waterfall_report_year,waterfall_report_name
0,Stuxnet,2010-07-15,Iran,Process Mfg.,Nation State,1,,Destroyed 1000 centrifuges at Natanz,Plant was infected by the Stuxnet worm in a targeted attack designed to disrupt Iran's nuclear enrichment program,"[""en.wikipedia.org/wiki/Stuxnet""]",2010,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
3,Iran's main oil export terminals,2012-04-22,Iran,Oil & Gas,Nation State,6,,Shutdown 6 terminals,"6 terminals ops. affected by Flame malware. News outlets confirm outage, despite Iran downplaying the attack's effects","[""bbc.com/news/world-middle-east-59062907"",""iranprimer.usip.org/blog/2021/nov/02/israel-iran-cyber-war-gas-station-attack""]",2012,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
7,Unknown Power Plant,2012-10-?,USA,Power,Unknown,1,,Delayed turbine restart (thus power generation) by 3 weeks,"10 plant PCs were infected by Mariposa malware variant, transmitted through a USB stick. Occurred during scheduled shutdown for maintenance","[""us-cert.gov/sites/default/files/Monitors/ICS-CERT_Monitor_Oct-Dec2012.pdf""]",2012,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
12,German steel mill,2014-12-22,Germany,Metals & Mining,Unknown,1,,"Caused ""massive damage"" to plant equipment","Sophisticated attack using spear phishing and ICS knowledge to disable the control system, causing an uncontrolled shutdown of the blast furnace","[""bbc.com/news/technology-30575104""]",2014,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
15,"Prykarpattyaoblenergo, Chernivtsioblenergo, Kyivoblenergo",2015-12-13,Ukraine,Power,Nation State,32,,Power outage lasts up to 6 hours affecting 230K people,First publicly known attack on a power grid occurs when threat actor Sandworm deploys BlackEnergy 3 malware into the utility's network,"[""en.wikipedia.org/wiki/2015_Ukraine_power_grid_hack"",""arstechnica.com/information-technology/2016/01/first-known-hacker-caused-power-outage-signals-troubling-escalation""]",2015,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
21,"Pivnichna substation, Kyiv",2016-12-17,Ukraine,Power,Nation State,1,,Power outage for 20% of Kyiv for over 1 hour,"Sandworm suspected in deploying Industroyer (also: CrashOverride) malware, by exploiting a vulnerability in Siemens SIPROTEC relays","[""en.wikipedia.org/wiki/2016_Kyiv_cyberattack"",""arstechnica.com/information-technology/2017/06/crash-override-malware-may-sabotage-electric-grids-but-its-no-stuxnet""]",2016,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
27,Renault-Nissan,2017-05-12,"France, Slovenia, Romania, India",Discrete Mfg.,Ransomware,5,,"Shutdown plants in Douai, Sandouville, Slovenia, Pitesti, and Chennai for 1 day","WannaCry ransomware, spread by the ExternalBlue exploit, hit 5 plants for 1 day","[""industrialcybersecuritypulse.com/facilities/throwback-attack-wannacry-ransomware-takes-renault-nissan-plants-offline""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
33,AP Moller-Maersk / Gateway Terminals India (GTI),2017-06-27,India,Transportation,Ransomware,1,,Shutdown operations at the JNPT GTI Terminal,"JNPT's GTI container terminal depends on Maersk's systems located in the Hague, which fell victim to a Petya ransomware attack","[""timesofindia.indiatimes.com/india/indias-largest-container-port-jnpt-hit-by-ransomware/articleshow/59346704.cms""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
39,Countless,2017-06-27,Global,All,Nation State,1,$10B,"Outages throughout many industries: one incident, countless victims","NotPetya malware, created by Russian actors targeting Ukraine, spreads indiscriminately through networks using the EternalBlue exploit, permanently encrypting data","[""wired.com/story/notpetya-cyberattack-ukraine-russia-code-crashed-the-world""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
43,Unknown Petrochemical Plant,2017-08-?,Saudi Arabia,Oil & Gas,Nation State,1,,"Shutdown one plant, twice","Triton malware employed to infect and reprogram Triconex safety systems. This triggered an automatic shutdown, alerting operations. Occurred twice","[""theguardian.com/technology/2017/dec/15/triton-hackers-malware-attack-safety-systems-energy-plant""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
48,AW North Carolina,2017-08-16,USA,Discrete Mfg.,Ransomware,1,$1M,"Shutdown ops. for 4 hours, and caused a ripple delay effect in the auto supply chain","Just-in-time transmission component supplier to Toyota, Honda and others is hit by ransomware that slipped through firewall and AV software defenses","[""industrialcybersecuritypulse.com/threats-vulnerabilities/throwback-attack-aw-north-carolina-attack-shows-dangers-of-"",""apnews.com/article/nc-state-wire-north-america-us-news-ap-top-news-north-carolina-e316bd63f21a4fd181b3fb4a8dd7a5ba""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
54,Taiwan Semiconductor Manufacturing Co (TSMC),2018-08-03,Taiwan,Discrete Mfg.,Ransomware,3,$255M,"Shutdown operations at Tainan, Hsinchu, and Taichung; Lost 3% in quarterly revenue","WannaCry ransomware caused the outage. Supplier installed software on some machines accidentally infected with the malware, without running AV","[""itpro.com/security/31629/tsmc-cyber-attack-was-apparently-caused-by-wannacry""]",2018,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
58,Unknown gas pipeline,2019-?-?,USA,Oil & Gas,Ransomware,1,,Shutdown pipeline for 2 days,"Attackers used spear phishing to gain initial access to the IT network, then pivoted into the OT network due to poor segmentation. Then, they planted ransomware","[""securityweek.com/operations-us-natural-gas-facilities-disrupted-ransomware-attack""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
62,Norsk Hydro,2019-03-18,Norway,Metals & Mining,Ransomware,170,$71M,Halted production at 170 sheet aluminum plants,"Infected by the LockerGoga ransomware, initially spread at Norsky Hydro through phishing emails on the IT network","[""news.microsoft.com/source/features/digital-transformation/hackers-hit-norsk-hydro-ransomware-company-responded-transparency""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
68,City Power Johannesburg,2019-07-26,South Africa,Power,Ransomware,1,,Power outage for 250k customers and delayed restoration,"Ransomware encrypts the IT system, preventing customers on pre-paid plans from purchasing electricity, and hampering line crews’ efforts to restore localized blackouts","[""twitter.com/CityPowerJhb/status/1154277777950093313"",""bbc.com/news/technology-49125853""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
72,Pilz,2019-10-13,Germany,Discrete Mfg.,Ransomware,1,,"Shutdown systems, reverted to manual ops., and slowed production for 1 week","Slowdown due to impaired order tracking, due to BitPaymer ransomware attack","[""drivesncontrols.com/news/fullstory.php/aid/6191/Pilz_is_recovering_from_a__91major_92_ransomware_attack.html""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
77,RavnAir Alaska,2019-12-20,USA,Transportation,Ransomware,1,,Canceled Dash-8-100 flights for 24 hours,"Canceled Dash-8 flights because a cyber attack caused outage of the Dash-8 maintenance system and its backup, which is required for flight","[""theregister.com/2020/01/02/ravnair_ransomware_dhc_dash_8""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
80,Picanol,2020-01-13,"Belgium, Romania, China",Discrete Mfg.,Ransomware,3,€1M,"Shutdown manufacturing plants for 1 weeks, and sent workers home","Picanol is a manufacturer of weaving machines, and their manufacturing plants are heavily automated. Financial impact amounts paid for external experts","[""picanolgroup.com/en/investors/press-releases/press-release-cyber-attack-update-january-31-2020""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
85,Toll Group,2020-01-31,Australia,Transportation,Ransomware,1,,Shutdown systems and reverted to manual ops.,"Australian-based global logistics company suffered a targeted ransomware attack, and shutdown automation in an abundance of caution","[""zdnet.com/article/deliveries-stranded-across-australia-as-toll-confirms-ransomware-attack"",""zdnet.com/article/toll-group-shuts-down-it-systems-in-response-to-cybersecurity-incident""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
90,Miltenyi Biotech,2020-02-02,Germany,Discrete Mfg.,Ransomware,28,,Impaired global order processing for 2 weeks,Mount Locker ransomware impacted manufacturer and distributor of biotechnology & COVID-19 products. 150 GB data was exfiltrated and 1GB leaked publicly,"[""bleepingcomputer.com/news/security/biotech-research-firm-miltenyi-biotec-hit-by-ransomware-data-leaked""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
